subject,scanner
sub-1050225,TrioTim
sub-1050229,TrioTim
sub-1050230,TrioTim
sub-1050232,TrioTim
sub-1050234,TrioTim
sub-1050235,TrioTim
sub-1050239,TrioTim
sub-1050241,TrioTim
sub-1050242,TrioTim
sub-1050245,TrioTim
sub-1050247,TrioTim
sub-1050248,TrioTim
sub-1050249,TrioTim
sub-1050250,TrioTim
sub-1050253,TrioTim
sub-1050254,TrioTim
sub-1050257,TrioTim
sub-1050258,TrioTim
sub-1050261,TrioTim
sub-1050265,TrioTim
sub-1050268,TrioTim
sub-1050273,TrioTim
sub-1050277,TrioTim
sub-1050280,TrioTim
sub-1050281,TrioTim
sub-1050284,TrioTim
sub-1050286,TrioTim
sub-1050287,TrioTim
sub-1050288,TrioTim
sub-1050289,TrioTim
sub-1050292,TrioTim
sub-1050298,TrioTim
sub-1050307,TrioTim
sub-1050308,TrioTim
sub-1050320,TrioTim
sub-1050321,TrioTim
sub-1050322,TrioTim
sub-1050323,TrioTim
sub-1050325,TrioTim
sub-1050331,TrioTim
sub-1050334,TrioTim
sub-1050335,TrioTim
sub-1050336,TrioTim
sub-1050337,TrioTim
sub-1050340,TrioTim
sub-1050341,TrioTim
sub-1050342,TrioTim
sub-1050344,Prisma_fit
sub-1050345,Prisma_fit
sub-1050349,TrioTim
sub-1050353,TrioTim
sub-1050363,TrioTim
sub-1050368,TrioTim
sub-1050369,TrioTim
sub-1050371,TrioTim
sub-1050373,TrioTim
sub-1050375,TrioTim
sub-1050376,TrioTim
sub-1050377,TrioTim
sub-1050378,TrioTim
sub-1050383,TrioTim
sub-1050385,TrioTim
sub-1050389,TrioTim
sub-1050393,TrioTim
sub-1050395,TrioTim
sub-1050398,TrioTim
sub-1050399,TrioTim
sub-1050401,TrioTim
sub-1050402,TrioTim
sub-1050403,TrioTim
sub-1050404,TrioTim
sub-1050414,TrioTim
sub-1050420,Prisma_fit
sub-1050422,TrioTim
sub-1050427,Prisma_fit
sub-1050428,Prisma_fit
sub-1050430,TrioTim
sub-1050431,TrioTim
sub-1050432,TrioTim
sub-1050438,TrioTim
sub-1050440,TrioTim
sub-1050445,Prisma_fit
sub-1050447,Prisma_fit
sub-1050448,Prisma_fit
sub-1050451,TrioTim
sub-1050452,Prisma_fit
sub-1050457,Prisma_fit
sub-1050460,TrioTim
sub-1050461,TrioTim
sub-1050462,Prisma_fit
sub-1050466,Prisma_fit
sub-1050467,Prisma_fit
sub-1050468,Prisma_fit
sub-1050486,Prisma_fit
sub-1050487,Prisma_fit
sub-1050488,Prisma_fit
sub-1050495,Prisma_fit
sub-1050496,Prisma_fit
sub-1050497,Prisma_fit
sub-1050500,Prisma_fit
sub-1050502,Prisma_fit
sub-1050505,Prisma_fit
sub-1050506,Prisma_fit
sub-1050509,Prisma_fit
sub-1050510,Prisma_fit
sub-1050512,Prisma_fit
sub-1050513,Prisma_fit
sub-1050516,Prisma_fit
sub-1050517,Prisma_fit
sub-1050518,Prisma_fit
sub-1050523,Prisma_fit
sub-1050525,Prisma_fit
sub-1050526,Prisma_fit
sub-1050528,Prisma_fit
sub-1050531,Prisma_fit
sub-1050532,Prisma_fit
sub-1050533,Prisma_fit
sub-1050543,Prisma_fit
sub-1050544,Prisma_fit
sub-1050545,Prisma_fit
sub-1050546,Prisma_fit
sub-1050547,Prisma_fit
sub-1050551,Prisma_fit
sub-1050552,Prisma_fit
sub-1050556,Prisma_fit
sub-1050557,Prisma_fit
sub-1050561,Prisma_fit
sub-1050563,Prisma_fit
sub-1050577,Prisma_fit
sub-1050579,Prisma_fit
sub-1050580,Prisma_fit
sub-1050582,Prisma_fit
sub-1050586,Prisma_fit
sub-1050591,Prisma_fit
sub-1050593,Prisma_fit
sub-1050596,Prisma_fit
