"x","y","z","roi"
52.345601,-26.286306,42.224801,"R_PFt_ROI"
36.877676,-43.627021,44.110173,"R_AIP_ROI"
20.009435,-12.602174,-25.651466,"R_EC_ROI"
20.21622,-31.476459,-9.856411,"R_PreS_ROI"
29.95588,-22.785304,-17.078952,"R_H_ROI"
20.520636,-50.027339,1.446519,"R_ProS_ROI"
27.583688,-9.232237,-33.084786,"R_PeEc_ROI"
51.932379,11.498318,-18.311377,"R_STGa_ROI"
57.504532,-16.454812,6.81108,"R_PBelt_ROI"
62.577655,-17.525276,-3.857567,"R_A5_ROI"
21.624938,-34.935394,-17.893812,"R_PHA1_ROI"
33.8449,-36.530363,-17.986635,"R_PHA3_ROI"
54.030573,-5.975064,-14.661193,"R_STSda_ROI"
49.630025,-28.461571,-2.648391,"R_STSdp_ROI"
61.723919,-31.096424,-5.813888,"R_STSvp_ROI"
39.220609,12.550828,-34.404008,"R_TGd_ROI"
61.429463,-6.664124,-25.155491,"R_TE1a_ROI"
61.528926,-44.96037,-13.807556,"R_TE1p_ROI"
55.643229,-19.624572,-30.575604,"R_TE2a_ROI"
41.341338,-23.070583,-28.702584,"R_TF_ROI"
47.2678,-41.432623,-20.814316,"R_TE2p_ROI"
60.050092,-54.167158,-4.61168,"R_PHT_ROI"
50.032473,-62.929379,-11.916054,"R_PH_ROI"
55.533323,-40.997782,7.141635,"R_TPOJ1_ROI"
54.992717,-59.929732,7.290306,"R_TPOJ2_ROI"
43.449431,-65.139145,14.381361,"R_TPOJ3_ROI"
19.894777,-67.242528,27.588613,"R_DVT_ROI"
42.220999,-79.721813,23.134348,"R_PGp_ROI"
42.286016,-46.876271,43.526952,"R_IP2_ROI"
33.943172,-67.564301,43.950423,"R_IP1_ROI"
33.175972,-75.371861,27.440889,"R_IP0_ROI"
61.887089,-21.222416,26.211442,"R_PFop_ROI"
60.053922,-33.386464,36.901925,"R_PF_ROI"
53.96128,-50.643916,39.239632,"R_PFm_ROI"
48.85711,-59.831515,23.480072,"R_PGi_ROI"
44.21006,-67.932498,40.32219,"R_PGs_ROI"
22.750904,-82.549392,43.91831,"R_V6A_ROI"
17.796789,-52.606039,-9.378764,"R_VMV1_ROI"
26.988219,-59.033893,-10.832368,"R_VMV3_ROI"
31.169655,-34.75823,-15.310683,"R_PHA2_ROI"
46.880776,-77.491575,-2.692877,"R_V4t_ROI"
45.713629,-64.757721,-3.343351,"R_FST_ROI"
34.675623,-84.703713,14.84693,"R_V3CD_ROI"
46.041153,-77.491972,9.717354,"R_LO3_ROI"
28.626272,-53.568182,-6.681994,"R_VMV2_ROI"
11.793995,-51.103941,36.291597,"R_31pd_ROI"
4.873406,-43.061767,41.220232,"R_31a_ROI"
28.453089,-48.937253,-19.923874,"R_VVC_ROI"
3.798751,19.439596,-14.633875,"R_25_ROI"
4.592347,33.042897,-13.126944,"R_s32_ROI"
13.917707,12.508192,-19.382806,"R_pOFC_ROI"
38.93588,-13.285599,-2.927311,"R_PoI1_ROI"
36.51209,-14.294096,13.602878,"R_Ig_ROI"
36.994562,25.989734,4.467467,"R_FOP5_ROI"
25.987099,60.617134,5.134952,"R_p10p_ROI"
46.386233,42.652089,-2.830476,"R_p47r_ROI"
37.135872,-3.302913,-44.241891,"R_TGv_ROI"
45.710109,-16.316484,4.549793,"R_MBelt_ROI"
47.725667,-25.157536,9.966491,"R_LBelt_ROI"
65.385447,-17.010266,6.077719,"R_A4_ROI"
58.253041,-12.7623,-15.235884,"R_STSva_ROI"
63.457623,-27.303371,-17.323957,"R_TE1m_ROI"
45.988256,-4.641168,-13.409588,"R_PI_ROI"
8.832365,28.100786,29.109213,"R_a32pr_ROI"
3.601233,36.071329,16.649827,"R_p24_ROI"
-10.020923,-84.972935,0.523058,"L_V1_ROI"
-41.461728,-68.127113,3.333692,"L_MST_ROI"
-13.024051,-78.754216,29.929858,"L_V6_ROI"
-10.942825,-80.723182,0.164222,"L_V2_ROI"
-17.169409,-84.03859,3.729931,"L_V3_ROI"
-30.081157,-82.642199,-5.619694,"L_V4_ROI"
-31.970461,-71.916046,-17.405234,"L_V8_ROI"
-27.894663,-19.532193,53.380223,"L_4_ROI"
-39.557642,-21.635348,51.10513,"L_3b_ROI"
-42.311061,-5.999947,50.563243,"L_FEF_ROI"
-47.35572,0.217873,38.319171,"L_PEF_ROI"
-49.03715,0.004344,46.883486,"L_55b_ROI"
-16.310385,-90.2817,25.454186,"L_V3A_ROI"
-5.734329,-39.621927,16.796399,"L_RSC_ROI"
-9.120937,-71.313547,34.582051,"L_POS2_ROI"
-25.506517,-84.66274,26.523938,"L_V7_ROI"
-24.288558,-74.183227,37.117362,"L_IPS1_ROI"
-42.526138,-57.228119,-21.446498,"L_FFC_ROI"
-27.719962,-81.524476,16.536236,"L_V3B_ROI"
-41.549571,-86.937756,2.947874,"L_LO1_ROI"
-45.761016,-81.752906,-7.452825,"L_LO2_ROI"
-43.025398,-79.985953,-15.048476,"L_PIT_ROI"
-46.925674,-73.008053,5.483775,"L_MT_ROI"
-45.412842,-24.165123,10.512471,"L_A1_ROI"
-59.726398,-46.473372,22.761438,"L_PSL_ROI"
-7.315963,17.790534,62.736432,"L_SFL_ROI"
-5.599416,-50.693901,47.942294,"L_PCV_ROI"
-61.508646,-48.808646,13.980484,"L_STV_ROI"
-4.830695,-66.535095,49.193754,"L_7Pm_ROI"
-3.945865,-60.999899,33.721519,"L_7m_ROI"
-11.078288,-59.968579,13.039541,"L_POS1_ROI"
-2.468369,-20.122232,38.420639,"L_23d_ROI"
-4.202522,-55.745572,17.691328,"L_v23ab_ROI"
-2.414452,-41.27524,31.025821,"L_d23ab_ROI"
-7.34463,-45.613323,32.981214,"L_31pv_ROI"
-6.480723,-39.848867,59.437103,"L_5m_ROI"
-13.929095,-37.2938,48.822203,"L_5mv_ROI"
-10.115944,-27.198268,42.401351,"L_23c_ROI"
-13.62624,-47.452184,70.946558,"L_5L_ROI"
-6.515492,-17.913067,48.502686,"L_24dd_ROI"
-9.379045,-1.892354,43.067458,"L_24dv_ROI"
-19.263107,-54.050076,65.982717,"L_7AL_ROI"
-5.557406,2.924238,56.029045,"L_SCEF_ROI"
-17.873046,4.005318,67.628634,"L_6ma_ROI"
-6.855048,-59.59868,60.175611,"L_7Am_ROI"
-11.789477,-74.222606,52.722049,"L_7PL_ROI"
-36.841501,-49.948786,59.125922,"L_7PC_ROI"
-30.223964,-55.267054,52.420512,"L_LIPv_ROI"
-21.140547,-65.323234,61.526716,"L_VIP_ROI"
-22.122996,-65.67408,44.208582,"L_MIP_ROI"
-47.254131,-24.912458,53.880479,"L_1_ROI"
-40.391983,-33.059986,49.719803,"L_2_ROI"
-38.709914,-19.241106,38.615916,"L_3a_ROI"
-34.390544,-12.189332,64.659947,"L_6d_ROI"
-11.327339,-14.25801,68.939673,"L_6mp_ROI"
-59.65943,4.005166,31.643483,"L_6v_ROI"
-2.898873,-0.993984,39.768589,"L_p24pr_ROI"
-2.181863,13.33003,28.013214,"L_33pr_ROI"
-4.19459,19.193978,31.407882,"L_a24pr_ROI"
-9.392435,14.287489,36.715495,"L_p32pr_ROI"
-3.669315,40.564034,-1.212355,"L_a24_ROI"
-7.197565,38.943269,24.271372,"L_d32_ROI"
-4.740612,30.625075,42.478644,"L_8BM_ROI"
-10.035851,46.16121,-1.419515,"L_p32_ROI"
-6.336467,49.22643,-8.053949,"L_10r_ROI"
-35.750598,31.900893,-16.716792,"L_47m_ROI"
-38.869436,17.974733,50.608021,"L_8Av_ROI"
-23.438365,28.748548,43.935539,"L_8Ad_ROI"
-5.714533,52.148281,23.306744,"L_9m_ROI"
-11.51683,37.61048,52.884331,"L_8BL_ROI"
-18.626644,46.43674,39.030724,"L_9p_ROI"
-10.667842,64.780825,8.743605,"L_10d_ROI"
-42.592327,18.049708,35.251104,"L_8C_ROI"
-52.915944,15.526809,11.935238,"L_44_ROI"
-50.04795,26.273014,2.419626,"L_45_ROI"
-46.155072,29.557158,-11.208547,"L_47l_ROI"
-40.603409,48.12356,-11.162425,"L_a47r_ROI"
-53.219243,7.127631,17.494276,"L_6r_ROI"
-42.734195,11.888101,26.31268,"L_IFJa_ROI"
-39.64236,4.103727,28.295901,"L_IFJp_ROI"
-48.926564,22.672008,21.765105,"L_IFSp_ROI"
-47.881098,33.032454,10.858783,"L_IFSa_ROI"
-45.748436,30.395902,27.677303,"L_p9-46v_ROI"
-38.431022,38.735293,28.60865,"L_46_ROI"
-39.067257,49.82944,8.735959,"L_a9-46v_ROI"
-30.723792,45.306471,23.017842,"L_9-46d_ROI"
-21.686499,55.174215,25.541181,"L_9a_ROI"
-3.763934,51.018322,-18.574696,"L_10v_ROI"
-25.928585,59.666462,-7.051328,"L_a10p_ROI"
-12.606995,60.864197,-17.320721,"L_10pp_ROI"
-25.796863,47.015127,-16.021636,"L_11l_ROI"
-23.441007,26.357748,-21.118325,"L_13l_ROI"
-10.200512,30.283972,-24.476031,"L_OFC_ROI"
-33.097885,20.178547,-19.439041,"L_47s_ROI"
-29.285626,-53.274473,42.079771,"L_LIPd_ROI"
-25.859429,-3.539636,54.350886,"L_6a_ROI"
-31.300017,6.77152,55.140242,"L_i6-8_ROI"
-23.948966,22.811715,56.081719,"L_s6-8_ROI"
-57.641164,-0.596244,8.047534,"L_43_ROI"
-59.504339,-14.191557,13.932716,"L_OP4_ROI"
-46.905483,-22.731246,17.080332,"L_OP1_ROI"
-40.144221,-16.259955,17.066265,"L_OP2-3_ROI"
-38.810365,-21.728753,0.064535,"L_52_ROI"
-39.005396,-33.8188,17.858839,"L_RI_ROI"
-51.423704,-31.327731,18.241912,"L_PFcm_ROI"
-40.307928,-4.385384,-1.935799,"L_PoI2_ROI"
-50.995474,1.185142,-7.261693,"L_TA2_ROI"
-40.773365,11.938893,4.889965,"L_FOP4_ROI"
-37.254077,9.809629,1.085871,"L_MI_ROI"
-30.360256,4.582199,-18.325935,"L_Pir_ROI"
-31.544858,23.565414,-3.353143,"L_AVI_ROI"
-35.02728,13.679915,-12.237861,"L_AAIC_ROI"
-50.365564,2.514646,2.865127,"L_FOP1_ROI"
-35.515604,2.827085,12.221394,"L_FOP3_ROI"
-42.22078,-4.071271,13.394853,"L_FOP2_ROI"
-51.194414,-29.472948,38.337028,"L_PFt_ROI"
-35.977486,-44.893326,42.426875,"L_AIP_ROI"
-19.884052,-11.445359,-27.779412,"L_EC_ROI"
-19.583219,-29.755802,-12.841235,"L_PreS_ROI"
-29.873316,-24.80721,-16.656586,"L_H_ROI"
-20.89815,-54.440413,1.986202,"L_ProS_ROI"
-28.137101,-8.726514,-33.729453,"L_PeEc_ROI"
-52.040904,11.401738,-17.404076,"L_STGa_ROI"
-55.443825,-22.498398,5.749852,"L_PBelt_ROI"
-62.855418,-16.570679,-4.171801,"L_A5_ROI"
-20.942541,-36.498184,-17.820199,"L_PHA1_ROI"
-31.303212,-37.792558,-18.825202,"L_PHA3_ROI"
-55.229425,-7.629125,-13.141318,"L_STSda_ROI"
-52.805712,-32.599826,-1.590239,"L_STSdp_ROI"
-57.685845,-36.417397,-5.032321,"L_STSvp_ROI"
-40.455337,10.525954,-33.754334,"L_TGd_ROI"
-61.786128,-10.907964,-22.520107,"L_TE1a_ROI"
-61.427087,-46.701216,-13.120583,"L_TE1p_ROI"
-55.014547,-22.703476,-30.590964,"L_TE2a_ROI"
-40.439072,-22.624238,-29.7037,"L_TF_ROI"
-47.459185,-42.098323,-22.312791,"L_TE2p_ROI"
-59.989579,-58.30626,-0.517209,"L_PHT_ROI"
-47.588998,-60.30589,-11.364396,"L_PH_ROI"
-56.871102,-43.254551,6.525408,"L_TPOJ1_ROI"
-51.377789,-62.772471,11.108278,"L_TPOJ2_ROI"
-43.972925,-70.320872,15.259179,"L_TPOJ3_ROI"
-18.082365,-71.750726,29.078298,"L_DVT_ROI"
-41.436967,-82.449785,22.014355,"L_PGp_ROI"
-40.990498,-49.439935,41.150604,"L_IP2_ROI"
-29.937938,-69.956661,39.998687,"L_IP1_ROI"
-31.205421,-79.191556,24.698773,"L_IP0_ROI"
-63.29923,-24.158351,24.772666,"L_PFop_ROI"
-58.558457,-39.138226,35.919349,"L_PF_ROI"
-48.849834,-59.714336,41.229947,"L_PFm_ROI"
-46.226197,-59.170285,22.347215,"L_PGi_ROI"
-41.289548,-74.376201,36.379138,"L_PGs_ROI"
-19.619399,-86.488838,39.445527,"L_V6A_ROI"
-17.74371,-52.95204,-8.916695,"L_VMV1_ROI"
-28.506873,-59.725174,-11.111613,"L_VMV3_ROI"
-30.435344,-35.90916,-15.189389,"L_PHA2_ROI"
-45.713178,-76.81938,-1.606589,"L_V4t_ROI"
-48.053312,-65.392278,-1.810845,"L_FST_ROI"
-36.196477,-87.721247,10.855629,"L_V3CD_ROI"
-48.402596,-80.450449,9.404476,"L_LO3_ROI"
-28.551998,-52.250526,-6.41493,"L_VMV2_ROI"
-10.886054,-50.587617,35.196523,"L_31pd_ROI"
-4.385796,-38.180607,42.981045,"L_31a_ROI"
-29.877955,-51.883661,-20.823416,"L_VVC_ROI"
-4.123466,23.133584,-13.759814,"L_25_ROI"
-5.963592,34.157262,-14.660896,"L_s32_ROI"
-13.167282,12.595062,-20.097395,"L_pOFC_ROI"
-38.688466,-12.959557,-3.791111,"L_PoI1_ROI"
-36.030785,-15.959109,12.816356,"L_Ig_ROI"
-34.821368,25.847836,4.67619,"L_FOP5_ROI"
-24.277122,61.49226,3.653427,"L_p10p_ROI"
-44.737127,41.133368,1.130896,"L_p47r_ROI"
-39.20565,-3.017845,-44.776486,"L_TGv_ROI"
-44.926208,-16.408477,1.894097,"L_MBelt_ROI"
-47.695765,-25.278747,7.503833,"L_LBelt_ROI"
-64.957898,-20.977813,6.07057,"L_A4_ROI"
-52.526853,-12.470873,-16.8719,"L_STSva_ROI"
-63.935466,-28.708952,-17.545176,"L_TE1m_ROI"
-44.327214,-2.671436,-15.881929,"L_PI_ROI"
-9.302014,29.7641,25.909123,"L_a32pr_ROI"
-3.306253,36.780585,16.619869,"L_p24_ROI"
