subunnit    name     Talairach X   Talairach Y   Talairach Z    
71,    R.BA11.2,         16,          13,         -15  
16,    R.BA13.1,         37,          -11,         1  
58,    R.BA13.2,         40,          3,         6  
90,    R.BA17.1,         7,          -84,         8  
44,    R.BA17.2,         25,          -60,         9  
14,    R.BA18.1,         8,          -78,         25  
75,    R.BA18.2,         9,          -65,         9  
57,    R.BA18.3,         18,          -75,         -6  
11,    R.BA18.4,         21,          -91,         -3  
51,    R.BA18.5,         28,          -91,         10  
20,    R.BA19.1,         27,          -80,         27  
93,    R.BA19.2,         41,          -80,         -4  
13,    R.BA19.3,         44,          -72,         26  
70,    R.BA19.4,         47,          -72,         8  
15,    R.BA20.1,         37,          -19,         -22  
12,    R.BA20.2,         45,          -54,         -35  
72,    R.BA21.1,         57,          -21,         -16  
49,    R.BA22.1,         52,          -3,         -8  
76,    R.BA22.2,         56,          -29,         3  
54,    R.BA23.1,         6,          -49,         28  
63,    R.BA23.2,         6,          -20,         30  
45,    R.BA23.3,         13,          -47,         10  
31,    R.BA31.1,         7,          -40,         46  
55,    R.BA31.2,         16,          -64,         28  
36,    R.BA32.1,         6,          4,         37  
64,    R.BA36.1,         29,          -32,         -5  
53,    R.BA37.1,         23,          -52,         -5  
35,    R.BA37.2,         29,          -39,         -20  
79,    R.BA37.3,         30,          -63,         -19  
4,    R.BA37.4,         44,          -74,         -23  
39,    R.BA37.5,         44,          -57,         -11  
67,    R.BA37.6,         55,          -55,         0  
29,    R.BA37.7,         57,          -41,         -11  
85,    R.BA38.1,         30,          1,         -31  
19,    R.BA38.2,         47,          2,         -24  
81,    R.BA39.1,         48,          -59,         35  
52,    R.BA39.2,         49,          -56,         18  
43,    R.BA39.3,         57,          -44,         14  
73,    R.BA40.1,         52,          -25,         40  
22,    R.BA40.2,         54,          -43,         36  
1,    R.BA40.3,         57,          -30,         23  
6,    R.BA41.1,         39,          -22,         16  
3,    R.BA41.2,         55,          -7,         8  
56,    R.BA44.1,         53,          8,         20  
34,    R.BA45.1,         35,          20,         8  
91,    R.BA45.2,         51,          23,         5  
78,    R.BA46.1,         44,          42,         3  
65,    R.BA47.1,         28,          32,         -13  
25,    R.BA47.2,         37,          17,         -8  
40,    R.BA48.1,         10,          11,         0  
88,    R.BA48.2,         14,          2,         16  
86,    R.BA49.1,         24,          3,         1  
21,    R.BA50.1,         5,          -14,         7  
84,    R.BA50.2,         7,          -24,         -8  
82,    R.BA50.3,         16,          -32,         14  
80,    R.BA53.1,         25,          -7,         -13  
